
item_category,total_cnt,buy_cnt
4394,95,6
4990,111,7
7973,80,5
3025,16,1
2412,16,1
6280,16,1
6029,16,1
5936,32,2
4696,48,3
10723,32,2
10873,304,19
5710,32,2
6418,96,6
306,16,1
13950,16,1
4985,32,2
8091,32,2
11099,16,1
5062,32,2
11767,16,1
5138,16,1
3645,225,14
4692,161,10
3838,226,14
7025,517,32
4560,2586,160
11998,535,33
7994,146,9
4302,211,13
7399,114,7
13585,49,3
13005,49,3
10205,49,3
781,33,2
3155,264,16
1300,99,6
13946,33,2
2670,33,2
3221,33,2
8690,66,4
7717,231,14
1824,166,10
5684,100,6
11779,134,8
5392,67,4
4226,101,6
7691,1097,65
5453,238,14
6539,17,1
4200,34,2
12269,34,2
13649,34,2
1689,34,2
8360,17,1
12694,17,1
4745,17,1
4633,17,1
2088,17,1
7861,17,1
1078,17,1
13077,68,4
7674,154,9
9457,616,36
3607,291,17
9561,1012,59
10456,757,44
13056,311,18
4267,52,3
7419,260,15
10421,52,3
13135,192,11
11750,2322,133
158,105,6
3654,385,22
8002,70,4
14068,35,2
13892,878,50
2410,211,12
2156,176,10
6836,388,22
912,53,3
1993,53,3
5109,53,3
4411,160,9
13498,89,5
11029,89,5
5717,125,7
12853,36,2
4603,72,4
9393,18,1
2428,18,1
10321,18,1
1696,18,1
10058,54,3
4401,18,1
331,18,1
734,18,1
3584,235,13
4963,778,43
3631,471,26
8400,55,3
13696,552,30
28,92,5
10908,1546,84
2975,37,2
7892,37,2
513,37,2
1413,37,2
10028,74,4
8418,37,2
5428,37,2
13155,37,2
13889,37,2
994,93,5
2030,56,3
13441,224,12
13457,112,6
13483,131,7
2848,169,9
1530,207,11
13,113,6
13570,471,25
12740,1489,79
5897,377,20
11282,509,27
12735,283,15
2191,38,2
6135,38,2
1343,19,1
7722,38,2
11389,38,2
5486,19,1
68,19,1
6499,95,5
5795,95,5
11596,19,1
9910,19,1
1531,19,1
7118,19,1
7148,133,7
9108,38,2
6329,19,1
7493,19,1
11859,38,2
13182,19,1
4085,19,1
10138,286,15
12346,115,6
8171,442,23
8110,77,4
1742,289,15
5640,135,7
7117,1778,92
10175,116,6
4119,116,6
4466,426,22
11091,738,38
9885,175,9
4373,175,9
2892,39,2
8697,117,6
1579,39,2
5437,195,10
12492,39,2
1498,39,2
11703,176,9
12662,998,51
13913,137,7
6863,550,28
1005,1120,57
7488,59,3
3129,59,3
10761,552,28
10101,158,8
3242,79,4
12657,239,12
6977,26410,1324
8314,60,3
10680,60,3
7962,20,1
59,20,1
12324,100,5
11678,120,6
7942,300,15
9467,20,1
8719,20,1
10252,20,1
2383,20,1
5893,40,2
5957,40,2
1243,40,2
2821,20,1
12896,20,1
7634,20,1
5479,20,1
11529,461,23
11597,181,9
892,302,15
13505,141,7
6064,746,37
343,81,4
1805,385,19
6442,304,15
3555,203,10
10206,203,10
9093,244,12
3625,3359,165
7576,286,14
9800,41,2
1663,82,4
3033,247,12
5755,103,5
5031,62,3
11150,207,10
1822,290,14
12117,373,18
8938,83,4
2946,125,6
1096,1361,65
12397,859,41
3339,608,29
11443,168,8
6345,21,1
3803,63,3
1357,84,4
1087,168,8
14055,63,3
11849,21,1
4107,21,1
10859,21,1
11252,21,1
8477,21,1
9373,210,10
527,84,4
8899,21,1
4376,21,1
13200,210,10
6416,21,1
5626,42,2
12689,63,3
9655,84,4
5202,21,1
5287,21,1
6665,21,1
2362,443,21
2702,212,10
110,1422,67
2091,85,4
2117,149,7
10522,128,6
9432,192,9
9651,64,3
14050,299,14
1442,299,14
3924,1474,69
1769,107,5
5648,321,15
205,771,36
9117,257,12
2493,150,7
5132,193,9
13932,1827,85
9137,86,4
1404,129,6
4354,129,6
10899,43,2
13148,237,11
12545,130,6
3564,65,3
7996,197,9
4385,241,11
12015,1229,56
3876,461,21
4602,571,26
4591,44,2
10845,22,1
2093,44,2
602,22,1
3447,22,1
1921,22,1
1680,22,1
6306,22,1
4535,88,4
7051,44,2
111,22,1
13034,110,5
32,22,1
3816,44,2
7770,88,4
9462,88,4
12687,88,4
3958,44,2
3460,44,2
8934,22,1
13065,485,22
9111,177,8
7928,2236,101
4050,155,7
10618,133,6
12905,133,6
2122,244,11
5827,355,16
7356,111,5
4472,89,4
8611,223,10
9803,67,3
6812,67,3
10929,737,33
4439,605,27
1150,404,18
12762,719,32
4583,1573,70
4048,45,2
8952,45,2
10150,45,2
5909,45,2
4115,203,9
8344,361,16
12124,361,16
7883,181,8
3359,521,23
9804,68,3
192,272,12
6037,68,3
10944,862,38
8409,2007,88
4365,2145,94
11521,137,6
583,801,35
13308,1054,46
9419,941,41
4959,69,3
2047,46,2
4281,46,2
8972,23,1
1389,23,1
5432,46,2
3749,23,1
13002,23,1
2235,23,1
8834,46,2
5628,92,4
7238,23,1
13684,23,1
8933,23,1
4430,23,1
12075,46,2
12496,23,1
5649,2401,104
9228,231,10
5844,231,10
12351,231,10
9580,1202,52
13903,694,30
5751,7083,306
3546,116,5
504,256,11
10254,163,7
1287,303,13
5856,70,3
6717,8992,384
7021,2342,100
13001,164,7
2054,1102,47
6375,235,10
13964,47,2
10771,94,4
2704,47,2
2812,776,33
10979,637,27
566,968,41
2966,331,14
1869,71,3
9139,284,12
7522,166,7
2819,95,4
7639,3184,134
1310,1856,78
1081,762,32
689,311,13
5319,1867,78
3490,24,1
10937,24,1
139,48,2
2906,24,1
3101,24,1
3587,24,1
13784,48,2
6708,24,1
4580,24,1
194,24,1
7442,144,6
3323,72,3
9490,168,7
7804,216,9
5937,168,7
11720,240,10
7822,216,9
9566,24,1
10040,313,13
12823,1211,50
6638,170,7
10679,170,7
5947,122,5
8829,1592,65
7577,98,4
6974,539,22
10947,98,4
5343,49,2
13548,932,38
7087,123,5
6712,123,5
1509,4045,164
8744,3998,162
2866,2123,86
8867,272,11
3103,446,18
3393,248,10
12251,1291,52
7404,1839,74
2042,1170,47
10179,424,17
3137,200,8
8845,25,1
2247,50,2
3981,50,2
12523,25,1
3776,25,1
2893,25,1
2937,100,4
8242,125,5
13540,100,4
11430,150,6
11786,50,2
8426,603,24
5444,1282,51
3085,731,29
8371,1646,65
7683,76,3
2914,152,6
6308,127,5
13365,890,35
11599,1323,52
3810,51,2
4888,51,2
12929,51,2
12701,102,4
4813,408,16
6999,51,2
12123,664,26
12961,358,14
9510,435,17
11281,1053,41
3171,695,27
5208,232,9
2322,129,5
3537,981,38
2908,233,9
3320,26,1
3362,52,2
12684,52,2
2305,26,1
14054,26,1
10434,26,1
9194,78,3
8483,26,1
2134,26,1
72,52,2
2199,260,10
463,26,1
6304,1487,57
11317,235,9
10832,890,34
7146,2520,96
6373,105,4
13789,158,6
808,79,3
633,158,6
1249,211,8
8025,132,5
7192,185,7
5053,238,9
12327,768,29
10288,265,10
12502,53,2
3579,106,4
7700,53,2
11584,265,10
13984,53,2
8537,3316,125
6531,2655,100
634,478,18
9435,532,20
5618,719,27
910,293,11
9499,160,6
3087,1201,45
12129,187,7
8531,428,16
9343,696,26
8764,241,9
1722,402,15
5661,3270,122
8010,3249,121
12784,242,9
13915,1049,39
3562,350,13
13598,1375,51
11497,5317,197
10237,81,3
3963,27,1
1912,27,1
2843,27,1
112,27,1
4121,27,1
10861,27,1
7187,27,1
522,270,10
2762,189,7
12857,27,1
7900,676,25
6485,325,12
9899,3142,116
1800,623,23
6200,217,8
398,136,5
2537,354,13
8754,109,4
9769,409,15
8735,382,14
5646,355,13
14015,82,3
3102,822,30
2097,137,5
3828,137,5
3324,1784,65
8586,7996,291
7604,55,2
7127,55,2
12665,55,2
4786,55,2
8882,55,2
9354,1788,65
13212,138,5
623,138,5
4817,1601,58
13094,221,8
8749,2215,80
6819,222,8
5591,472,17
11250,139,5
2089,167,6
7590,5152,185
11498,390,14
1173,1588,57
2903,474,17
10514,251,9
5118,307,11
10926,642,23
8619,782,28
10336,643,23
2677,56,2
11484,28,1
9770,28,1
5764,28,1
10840,28,1
13067,28,1
13629,28,1
10153,56,2
9174,28,1
454,84,3
8249,56,2
568,28,1
2614,28,1
1551,56,2
7223,729,26
6901,365,13
3453,309,11
12836,225,8
11427,197,7
6627,338,12
11512,479,17
2040,2226,79
8985,141,5
12602,904,32
2051,113,4
10092,113,4
11225,537,19
11761,283,10
4181,1104,39
2269,85,3
4762,312,11
3230,227,8
11645,227,8
768,284,10
11802,1108,39
10029,2136,75
6549,826,29
1452,114,4
3371,57,2
8380,114,4
9621,57,2
5067,171,6
1872,399,14
2238,171,6
10613,285,10
13470,57,2
1252,57,2
1305,200,7
9712,286,10
2204,1603,56
13910,86,3
9416,201,7
5845,115,4
6858,374,13
3561,1067,37
11934,231,8
5220,491,17
13825,667,23
11275,435,15
3570,29,1
2323,58,2
8550,58,2
4493,29,1
11192,29,1
11969,58,2
12505,29,1
11446,58,2
13919,58,2
6833,87,3
10882,87,3
1350,87,3
3188,29,1
3222,1799,62
9372,1306,45
5719,726,25
3944,6104,210
11695,1107,38
7956,175,6
5892,438,15
8777,146,5
13748,146,5
5906,234,8
6711,907,31
1604,1229,42
8716,440,15
9388,1058,36
11924,676,23
3636,1529,52
6424,3794,129
6009,206,7
9165,265,9
3632,118,4
9282,59,2
13648,59,2
9745,295,10
2007,177,6
5550,6110,207
5369,856,29
4991,1418,48
6015,975,33
12652,1389,47
10329,207,7
4647,207,7
13508,474,16
1969,2046,69
13783,534,18
5721,178,6
2907,564,19
9850,208,7
10772,357,12
8658,119,4
9635,119,4
10021,506,17
3282,298,10
3093,3965,133
9493,179,6
878,179,6
4348,866,29
3063,508,17
7296,1076,36
3988,5291,177
758,987,33
12636,510,17
6664,30,1
11191,30,1
10853,60,2
10563,60,2
7872,150,5
10482,90,3
3505,90,3
4916,60,2
206,30,1
13953,30,1
9009,30,1
12088,30,1
12359,30,1
13545,30,1
13251,30,1
13771,30,1
6841,60,2
11293,30,1
1980,90,3
11741,60,2
5210,30,1
1723,4210,140
13926,6920,230
9082,301,10
8793,422,14
11324,1449,48
4396,1812,60
3973,151,5
5324,999,33
4739,1424,47
5523,303,10
12407,788,26
8873,91,3
6993,182,6
11304,1700,56
9152,152,5
501,305,10
7309,122,4
9935,61,2
13257,61,2
2130,1221,40
632,336,11
4007,825,27
2413,1253,41
831,520,17
467,245,8
10019,950,31
8684,92,3
12555,399,13
10798,1536,50
10017,584,19
4438,1076,35
10247,123,4
6441,369,12
2278,123,4
13945,277,9
9550,308,10
8994,308,10
2236,864,28
13098,587,19
2437,619,20
13085,31,1
11557,31,1
8577,31,1
4046,31,1
1820,186,6
5482,31,1
11939,155,5
3461,31,1
10830,62,2
11880,31,1
12341,93,3
3013,31,1
7709,837,27
6926,31,1
10769,31,1
6331,1493,48
6571,623,20
8937,810,26
1260,779,25
138,343,11
12678,125,4
1674,8821,282
1630,438,14
1233,532,17
7694,407,13
2901,15164,484
5956,188,6
12277,345,11
687,157,5
10111,220,7
7490,723,23
4869,944,30
8827,126,4
8500,63,2
4271,63,2
11073,63,2
12922,347,11
388,631,20
1317,1579,50
11081,158,5
4017,95,3
5231,95,3
12760,1016,32
6742,2858,90
10716,604,19
6896,318,10
11689,159,5
9293,509,16
3449,191,6
414,414,13
6439,447,14
3341,894,28
11995,735,23
3709,3326,104
9609,96,3
1757,32,1
8165,64,2
7697,128,4
5426,576,18
6910,32,1
2788,160,5
11940,32,1
4743,32,1
11987,32,1
3901,64,2
13539,32,1
1790,32,1
14057,64,2
13818,32,1
12758,609,19
3613,321,10
11643,610,19
10507,11127,346
271,129,4
157,387,12
1588,710,22
10548,710,22
8771,14787,458
12111,711,22
7619,2586,80
3258,97,3
12707,97,3
4221,454,14
13434,65,2
9549,65,2
9582,65,2
4360,65,2
1504,1626,50
7111,683,21
9160,358,11
7472,944,29
1346,3389,104
219,359,11
9361,98,3
2052,98,3
16,588,18
9488,753,23
3793,3045,93
4690,1147,35
7266,1770,54
13571,328,10
6146,197,6
12746,230,7
13872,230,7
829,329,10
13215,560,17
8666,1384,42
10726,462,14
12969,33,1
5112,33,1
11109,66,2
3823,66,2
6149,33,1
3311,33,1
3489,396,12
5960,33,1
13654,33,1
13214,198,6
1726,462,14
13580,33,1
1194,66,2
245,33,1
12625,33,1
7097,33,1
10934,33,1
1784,33,1
8112,33,1
7388,33,1
8032,33,1
13279,66,2
11769,33,1
3513,33,1
13060,298,9
13103,133,4
12885,133,4
12626,1563,47
6583,200,6
11693,200,6
9018,100,3
12524,100,3
6161,100,3
115,267,8
1102,368,11
5004,435,13
11392,335,10
13418,67,2
8917,67,2
7411,134,4
6470,67,2
201,67,2
6697,5059,151
338,302,9
2631,2653,79
12592,840,25
7533,168,5
13242,168,5
738,1210,36
2079,471,14
12631,202,6
1793,101,3
3509,1347,40
8317,742,22
11078,135,4
10607,270,8
6211,1047,31
5963,169,5
13645,372,11
11298,203,6
11956,1252,37
5466,1794,53
10079,7245,214
11354,237,7
5576,237,7
9970,2710,80
7831,7625,225
4227,373,11
7359,645,19
12211,238,7
6919,102,3
3933,34,1
5726,102,3
479,34,1
13320,34,1
5391,34,1
4276,2890,85
7080,102,3
8157,34,1
8761,68,2
289,34,1
2063,34,1
12135,3706,109
3855,136,4
1554,34,1
5341,34,1
13728,34,1
10015,4223,124
8066,1160,34
9310,273,8
7905,239,7
11034,1434,42
6307,1605,47
5623,7446,218
1514,582,17
5405,137,4
2306,137,4
11223,514,15
7210,377,11
8869,583,17
8796,5007,146
1010,309,9
8630,103,3
7756,103,3
10500,687,20
9772,550,16
7607,275,8
3070,722,21
340,413,12
9202,964,28
1996,379,11
7832,448,13
10162,517,15
4889,276,8
7680,207,6
3836,69,2
6483,69,2
7306,69,2
1877,4278,124
1758,207,6
2308,69,2
438,4452,129
11330,4355,126
12861,346,10
4087,173,5
10930,1488,43
2092,450,13
13480,381,11
5602,416,12
5943,104,3
5813,104,3
6437,902,26
4722,833,24
9023,868,25
9098,139,4
7844,139,4
13447,139,4
1456,626,18
8836,209,6
1362,628,18
10472,2552,73
4587,35,1
18,35,1
12872,35,1
172,105,3
14027,35,1
8104,1050,30
1507,35,1
978,105,3
6704,70,2
309,210,6
8932,35,1
9400,35,1
10339,35,1
9326,35,1
6421,70,2
3474,35,1
1405,35,1
7040,561,16
6633,246,7
12598,774,22
4837,634,18
4468,775,22
11143,282,8
10906,282,8
13305,1798,51
5991,247,7
13515,3812,108
3313,106,3
11267,106,3
5964,389,11
7712,4456,126
1401,603,17
5163,71,2
8123,71,2
9402,71,2
9315,71,2
10855,71,2
11399,142,4
6045,4369,123
7606,7004,197
11815,320,9
13393,1600,45
10957,249,7
13224,427,12
6938,178,5
3330,1354,38
13198,107,3
8852,107,3
8254,5247,147
8178,250,7
13961,143,4
435,179,5
4195,1647,46
6564,1719,48
12275,430,12
2730,3480,97
2380,1115,31
7591,144,4
6270,36,1
1180,72,2
13464,36,1
5387,36,1
1163,72,2
13271,72,2
7862,36,1
13255,36,1
10813,36,1
7385,396,11
12906,36,1
10540,108,3
5186,757,21
9808,433,12
12195,397,11
4006,868,24
14041,1013,28
35,181,5
8912,507,14
243,109,3
2781,654,18
12294,4768,131
4953,364,10
4684,182,5
13541,1787,49
6446,657,18
6409,73,2
9515,219,6
12525,73,2
7904,146,4
12066,73,2
13355,913,25
12685,8076,221
220,2049,56
5829,659,18
483,1135,31
675,7909,216
13018,110,3
13832,257,7
2620,441,12
3000,2759,75
5869,442,12
6194,2101,57
924,295,8
4750,369,10
13985,2031,55
5641,37,1
9176,37,1
73,37,1
2823,37,1
5716,37,1
13855,185,5
11172,37,1
8756,37,1
1175,74,2
11813,148,4
8208,37,1
11194,37,1
4108,37,1
5122,74,2
5448,37,1
8438,111,3
13493,37,1
2847,37,1
11954,630,17
10380,1002,27
13989,297,8
11021,409,11
4329,3087,83
7894,372,10
10804,4576,123
8088,1637,44
443,149,4
3500,149,4
5900,485,13
7826,112,3
5098,112,3
7512,187,5
732,2843,76
2120,150,4
5101,75,2
1801,150,4
2254,3376,90
7057,413,11
4415,226,6
80,113,3
12233,452,12
4369,113,3
6903,678,18
10990,113,3
3476,1094,29
11774,2943,78
5402,151,4
7516,5154,136
863,417,11
9127,873,23
2692,38,1
13921,114,3
4581,266,7
351,38,1
914,38,1
742,38,1
6206,38,1
2797,1178,31
8814,38,1
2767,38,1
9455,38,1
12471,38,1
11449,38,1
8904,152,4
8885,76,2
3728,38,1
5980,76,2
12478,76,2
336,76,2
10494,38,1
4833,38,1
2745,38,1
7332,38,1
2454,761,20
4807,761,20
2251,647,17
9258,1448,38
6020,2440,64
10635,191,5
3380,306,8
8612,268,7
11068,383,10
2539,230,6
13831,422,11
2905,307,8
5065,2536,66
11178,7917,206
3051,231,6
3190,385,10
11343,308,8
9592,308,8
12753,8291,215
11679,270,7
3228,463,12
10779,386,10
4388,116,3
10328,116,3
10062,464,12
11164,271,7
3592,271,7
1152,814,21
8333,349,9
1230,4887,126
2971,427,11
5915,1983,51
7768,1517,39
2382,39,1
9336,39,1
11725,39,1
1429,39,1
2174,39,1
5655,234,6
2162,39,1
4027,39,1
5190,39,1
2136,39,1
4384,39,1
3288,39,1
13030,78,2
6658,273,7
6760,78,2
2157,39,1
446,14478,370
11537,21445,548
1900,783,20
12910,235,6
5704,196,5
8907,902,23
12874,706,18
11895,2198,56
13332,3574,91
11680,1376,35
3721,433,11
7753,4136,105
11513,197,5
11300,197,5
7558,355,9
4998,948,24
4632,79,2
11990,356,9
6129,475,12
9319,198,5
13396,1901,48
4274,555,14
11376,7178,181
13180,278,7
12457,278,7
1806,159,4
4110,1431,36
2378,756,19
4627,1394,35
5687,279,7
6048,399,10
7392,479,12
9637,1557,39
2271,679,17
13455,3156,79
8326,240,6
5413,40,1
4769,40,1
9946,40,1
97,80,2
2368,40,1
3517,40,1
6330,40,1
10554,200,5
5693,840,21
270,200,5
8615,160,4
10668,40,1
7633,40,1
10115,40,1
9480,481,12
9909,2729,68
11606,1045,26
11229,402,10
4841,402,10
4668,403,10
1852,403,10
2861,121,3
5739,121,3
10725,1049,26
6686,404,10
8575,2832,70
8723,648,16
7859,162,4
4508,81,2
10559,730,18
5631,649,16
6017,284,7
12268,1380,34
6811,244,6
756,244,6
11384,122,3
11633,244,6
2828,4528,111
8809,572,14
10654,82,2
4489,41,1
472,123,3
2956,82,2
9842,82,2
5762,41,1
677,41,1
11655,41,1
2679,1476,36
11141,123,3
6929,123,3
1910,82,2
4408,41,1
11687,1971,48
1126,1110,27
8892,1028,25
8147,1277,31
6748,1113,27
8879,1773,43
11879,1897,46
13859,165,4
5686,784,19
10338,1156,28
2010,2230,54
13291,124,3
9680,124,3
11316,248,6
4621,124,3
11835,124,3
9944,1448,35
13459,373,9
712,913,22
7001,83,2
7857,83,2
9960,1291,31
13834,375,9
347,417,10
2425,793,19
13672,334,8
3289,502,12
3238,251,6
1606,879,21
11455,963,23
2302,1048,25
10331,671,16
10283,1175,28
4163,42,1
11624,126,3
1867,168,4
9209,126,3
10592,294,7
604,84,2
11457,42,1
1349,126,3
12357,210,5
13433,42,1
9262,42,1
9691,42,1
6344,93059,2208
8597,843,20
5002,2826,67
9199,844,20
12406,4272,101
7850,2543,60
118,976,23
2950,7809,184
6569,552,13
8124,170,4
4662,255,6
11681,85,2
3646,85,2
12923,468,11
9280,2170,51
2420,767,18
7466,895,21
5985,1322,31
7727,1024,24
2839,1536,36
3813,128,3
13971,3584,84
2955,555,13
1059,299,7
12814,171,4
3067,3463,81
6142,300,7
2909,1203,28
2851,172,4
9875,258,6
4649,43,1
7005,43,1
13124,43,1
9217,86,2
7954,129,3
13356,258,6
7487,129,3
3606,86,2
6384,43,1
10843,43,1
5984,129,3
3032,517,12
8868,388,9
10187,2890,67
8920,302,7
8792,4765,110
4636,1907,44
5041,607,14
7948,521,12
11894,1653,38
5570,174,4
7821,87,2
630,4048,93
10122,392,9
5515,829,19
12105,131,3
12376,262,6
7023,1531,35
5193,350,8
13749,350,8
8017,394,9
5838,219,5
11185,219,5
5800,219,5
1224,482,11
4593,2368,54
9001,5482,125
13150,307,7
11897,44,1
5252,88,2
10824,88,2
3096,132,3
8824,44,1
1085,44,1
4748,44,1
3747,1452,33
11249,44,1
13369,132,3
4821,44,1
11801,44,1
7615,44,1
2043,44,1
9229,1277,29
3629,397,9
10236,3044,69
4018,221,5
12,221,5
2252,3271,74
8954,619,14
834,177,4
2102,177,4
4234,177,4
8767,310,7
6608,577,13
5566,756,17
10750,89,2
5903,89,2
6252,89,2
1818,89,2
1954,1114,25
7291,223,5
12128,223,5
8848,714,16
12569,14994,336
10816,491,11
9856,4376,98
13808,134,3
11636,402,9
12990,134,3
11733,492,11
2662,179,4
1032,2418,54
4301,224,5
4320,449,10
2316,135,3
10417,45,1
13473,90,2
4404,45,1
13403,45,1
13691,540,12
1762,180,4
3881,45,1
8401,360,8
7066,45,1
8653,45,1
6972,90,2
9765,135,3
5338,45,1
6447,45,1
13047,45,1
2329,45,1
6321,2614,58
7050,451,10
9066,316,7
5706,723,16
13189,226,5
6657,995,22
814,8240,182
13737,136,3
1149,136,3
1892,499,11
8096,227,5
4034,545,12
8662,3684,81
3590,91,2
9414,91,2
3693,91,2
1618,91,2
4114,364,8
5478,182,4
12003,182,4
1099,91,2
9685,91,2
6655,1688,37
2727,137,3
2026,548,12
5475,274,6
4153,1738,38
9155,1647,36
10927,183,4
13745,183,4
8853,229,5
1039,779,17
1361,2658,58
7301,275,6
13109,367,8
10218,873,19
13007,1057,23
4677,2759,60
10470,46,1
11051,276,6
5452,46,1
9047,46,1
9318,92,2
2499,46,1
12024,46,1
11541,46,1
3814,506,11
2293,46,1
13817,92,2
2763,46,1
1315,92,2
4165,138,3
12620,92,2
2896,92,2
11118,92,2
12848,46,1
6631,415,9
12387,1107,24
4372,1061,23
1559,231,5
11510,324,7
12137,1251,27
5744,139,3
7898,1067,23
5998,650,14
8837,93,2
5792,93,2
5095,465,10
1344,93,2
8392,93,2
7917,4559,98
3807,419,9
5430,745,16
13712,4890,105
13472,326,7
7707,326,7
12370,2702,58
284,7226,155
7201,140,3
5072,140,3
4350,140,3
603,4904,105
13428,375,8
9757,750,16
12029,892,19
4147,235,5
4948,47,1
4872,235,5
7518,47,1
4272,141,3
1888,47,1
2593,47,1
2596,47,1
7881,94,2
11780,47,1
9268,47,1
7748,47,1
332,941,20
3410,236,5
8943,1702,36
7957,47180,997
2786,284,6
3283,663,14
13425,1184,25
11393,902,19
11322,285,6
2922,95,2
12567,95,2
3760,11934,251
4197,428,9
2342,666,14
5944,3759,79
13747,238,5
5447,1525,32
5533,7961,167
10638,191,4
9189,191,4
5212,191,4
10585,1099,23
9653,478,10
3846,4834,101
6253,4267,89
2034,288,6
2915,48,1
11131,240,5
4382,2448,51
2355,48,1
10125,48,1
4040,240,5
5819,48,1
3026,144,3
11935,48,1
12780,48,1
12733,48,1
14075,48,1
7767,27767,578
7534,577,12
3994,337,7
6743,241,5
4339,193,4
8320,290,6
12228,290,6
6154,967,20
3368,16797,347
600,727,15
9021,921,19
255,97,2
4090,97,2
4045,194,4
12304,6165,127
13807,1845,38
5365,243,5
10876,146,3
12788,292,6
9715,341,7
8040,3167,65
12435,390,8
612,244,5
6719,244,5
12158,2539,52
12765,293,6
12183,586,12
4609,782,16
770,49,1
721,49,1
12483,98,2
4331,98,2
10694,245,5
11239,147,3
13896,49,1
10201,49,1
533,49,1
13999,49,1
969,147,3
12279,49,1
11203,49,1
13208,49,1
9444,5149,105
1550,932,19
3213,442,9
3879,4034,82
13551,246,5
6991,2756,56
2431,1329,27
